,0
459,31.4
460,122.0
461,301.6
462,31.6
463,121.8
464,302.0
465,121.9
466,301.9
467,31.0
468,211.6
469,211.6
470,301.3
471,122.9
472,121.9
473,301.9
474,212.0
475,31.6
476,32.0
477,301.8
478,122.1
479,31.5
480,302.1
481,122.2
482,121.9
483,301.9
484,31.2
485,211.5
486,211.2
487,302.9
488,121.5
489,211.6
490,121.9
491,301.5
492,122.0
493,301.9
494,210.4
495,31.6
496,30.4
497,121.9
498,302.2
499,211.0
500,121.3
501,301.3
502,228.1
503,46.4
504,136.0
505,55.8
506,46.5
507,25.1
508,321.4
509,265.0
510,1.0
511,54.7
512,88.4
513,262.6
514,139.9
515,47.7
516,230.7
517,49.3
518,319.9
519,216.2
520,342.9
521,337.6
522,268.1
523,246.9
524,338.0
525,178.4
526,144.6
527,52.1
528,234.4
529,334.1
530,241.9
531,239.6
532,58.3
533,335.5
534,309.1
535,224.1
536,282.6
537,354.5
538,272.7
539,102.6
540,328.7
541,38.9
542,309.0
543,129.9
544,312.8
545,225.9
546,168.9
547,92.7
548,49.4
549,307.1
550,129.0
551,230.9
552,50.9
553,315.4
554,225.3
555,334.1
556,318.5
557,290.8
558,89.7
559,269.7
560,154.2
561,313.4
562,217.7
563,302.2
564,300.8
565,226.6
566,302.9
567,30.4
568,106.1
569,354.3
570,7.1
571,252.8
572,22.4
573,7.0
574,344.5
575,255.7
576,90.4
577,353.2
578,175.1
579,258.6
580,181.0
581,0.6
582,319.5
583,226.0
584,69.3
585,69.3
586,158.9
587,71.2
588,274.0
589,290.7
590,211.0
591,132.2
592,209.2
593,221.0
594,225.9
595,226.5
596,23.0
597,140.4
598,163.2
599,348.2
600,115.8
601,211.4
602,92.6
603,109.9
604,137.5
605,67.6
606,121.4
607,154.6
608,96.0
609,186.7
610,39.6
611,310.0
612,341.8
613,251.1
614,76.9
615,153.7
616,164.2
617,251.4
618,329.5
619,67.2
620,277.5
621,10.9
622,198.5
623,100.1
624,44.6
625,130.8
626,114.1
627,276.1
628,2.8
629,92.8
630,5.8
631,185.8
632,96.8
633,265.0
634,225.3
635,159.7
636,158.1
637,152.6
638,159.6
639,23.5
640,23.5
641,294.6
642,213.1
643,326.8
644,234.1
645,189.5
646,299.1
647,92.2
648,212.7
649,272.9
650,92.9
651,2.6
652,192.9
653,286.9
654,93.9
655,106.9
656,194.5
657,50.3
658,183.6
659,272.3
660,3.4
661,92.3
662,183.1
663,3.6
664,273.0
665,92.8
666,273.9
667,91.9
668,29.8
669,268.8
670,183.4
671,90.0
672,28.6
673,146.9
674,230.8
675,82.8
676,260.9
677,181.5
678,5.8
679,277.8
680,185.8
681,97.4
682,277.4
683,5.5
684,186.9
685,184.0
686,266.6
687,7.7
688,9.5
689,265.0
690,20.3
691,185.2
692,62.5
693,176.5
694,242.6
695,6.9
696,309.6
697,219.1
698,44.1
699,310.0
700,220.2
701,124.8
702,39.1
703,201.7
704,304.8
705,21.6
706,219.7
707,8.5
708,314.2
709,39.7
710,223.5
711,132.4
712,4.1
713,277.2
714,190.1
715,185.1
716,274.3
717,184.4
718,38.5
719,92.1
720,272.2
721,3.9
722,127.0
723,287.8
724,316.0
725,279.8
726,92.9
727,159.6
728,205.5
729,180.3
730,279.5
731,105.7
732,239.8
733,159.5
734,12.5
735,249.4
736,341.5
737,161.6
738,284.5
739,118.1
740,293.9
741,168.6
742,109.0
743,294.9
744,209.4
745,24.1
746,272.2
747,4.7
748,108.4
749,4.4
750,87.6
751,259.8
752,104.9
753,284.9
754,70.3
755,285.5
756,255.1
757,90.8
758,223.2
759,307.3
760,56.2
761,329.1
762,229.4
763,174.0
764,226.5
765,182.0
766,158.8
767,284.5
768,82.1
769,353.7
770,327.7
771,11.5
772,0.5
773,144.8
774,155.2
775,340.0
776,88.6
777,262.8
778,349.9
779,72.0
780,276.7
781,148.7
782,342.4
783,70.7
784,256.5
785,202.7
786,22.5
787,102.2
788,356.6
789,202.5
790,318.5
791,218.7
792,140.1
793,151.3
794,239.8
795,329.4
796,207.6
797,28.1
798,118.8
799,298.8
800,183.9
801,30.9
802,298.5
803,270.3
804,3.9
805,90.1
806,209.2
807,297.9
808,117.4
809,28.3
810,298.0
811,118.5
812,28.3
813,207.9
814,297.4
815,118.5
816,27.6
817,207.7
818,29.5
819,300.2
820,117.9
821,28.3
822,208.3
823,298.5
824,120.2
825,345.9
826,71.5
827,254.6
828,157.9
829,27.4
830,317.3
831,236.1
832,319.5
833,137.3
834,30.8
835,207.4
836,118.0
837,28.1
838,118.2
839,298.2
840,208.1
841,28.2
842,118.2
843,298.2
844,210.8
845,25.6
846,117.9
847,298.0
848,205.6
849,28.8
850,230.6
851,314.0
852,139.5
853,297.9
854,28.2
855,208.2
856,93.1
857,273.1
858,2.8
859,2.8
860,93.2
861,182.6
862,93.2
863,273.2
864,181.0
865,273.2
866,338.6
867,154.8
868,182.7
869,190.8
870,63.9
871,2.8
872,271.2
873,93.3
874,93.3
875,183.3
876,3.8
877,273.2
878,91.2
879,273.3
880,273.3
881,1.1
882,180.3
883,271.7
884,313.5
885,8.0
886,333.2
887,335.3
888,182.7
889,136.5
890,359.9
891,92.1
892,179.9
893,1.0
894,270.6
895,92.5
896,272.1
897,3.7
898,181.7
899,272.7
900,93.0
901,181.0
902,4.3
903,184.3
904,92.9
905,272.9
906,273.0
907,91.7
908,1.9
909,183.7
910,181.7
911,91.9
912,273.1
913,357.4
914,181.9
915,93.1
916,272.9
917,155.4
918,82.0
919,333.0
920,3.5
921,153.0
922,272.5
923,183.1
924,0.6
925,189.0
926,93.3
927,274.1
928,180.6
929,341.8
930,84.5
931,271.2
932,337.8
933,90.2
934,161.8
935,271.4
936,335.4
937,157.8
938,82.4
939,356.5
940,84.1
941,262.4
942,87.5
943,268.3
944,57.4
945,78.9
946,262.0
947,341.6
948,86.1
949,258.9
950,358.8
951,178.8
952,161.6
953,83.1
954,266.1
955,176.5
956,84.1
957,263.1
958,2.7
959,182.7
